"Title","Author","Additional Authors","ISBN","ISBN13","My Rating","Average Rating","Publisher","Binding","Year Published","Original Publication Year","Date Read","Date Added","Bookshelves","My Review","Spoiler","Private Notes","Recommended For","Recommended By"
"The Black Swan:The Impact of the Highly Improbable","Nassim Nicholas Taleb","","[9780141034591]","","4","","Penguin Books","Paperback","","","","","","Taleb is not the best writer ever and some of his less-likable character traits come through in his writing and might put you off a bit in the beginning. But hang in there and you'll be sure to get convinced his theories are sound and find yourself a little smarter in the end.","","","",""
"Shakespeare:The World as a Stage","Bill Bryson","","[9780007197903]","","5","","HarperPerennial","Paperback","","","","","","Great little book. For the gossipy tales of shakespearean england and the gossipy tales of shakespearean historians. This book is very much a fun read, as most of Bryson's books tend to be.","","","",""
"Blind Faith:","Ben Elton","","[9780552773911]","","3","","Transworld Publishers","Paperback","","","","","","rambles on a bit. it's a horrific but funny sort of future vision but told with much lack of subtlety.","","","",""
"A Spot of Bother:","Mark Haddon","","[9780099506928]","","5","","Vintage","Paperback","","","","","","","","","",""
"Geisha of Gion:","Mineko Iwasaki","","[9780743469005]","","4","","Pocket Books","Paperback","","","","","","Interesting insight into one of the more mysterious parts of Japans cultural heritage.","","","",""
"Prey:","Michael Crichton","","[9780007796427]","","3","","Harper","Paperback","","","","","","pseudo scientific horror story about creepy crawlers of the nano variety.","","","",""
"Atonement:","Ian McEwan","","[9780099429791]","","5","","Vintage","Paperback","","","","","","","","","",""
"Anansi Boys:","Neil Gaiman","","[9780755305094]","","5","","Headline Review","Paperback","","","","","","Awesome tale of love, growing up and a whole lot of other stuff rolled up in a big and lovingly created fantasy story. Fantasy on a literary level though not the childish swords and dragons stuff.","","","",""
"The Catcher in the Rye:","J.D. Salinger","","[9780140237498]","","5","","Penguin Books Ltd","Others","","","","","","","","","",""
"Quicksilver:","Neal Stephenson","","[9780434008179]","","4","","Heinemann","Hardcover","","","","","","","","","",""
"Neverwhere:The Author's Preferred Text","Neil Gaiman","","[9780755322800]","","4","","Headline Review","Paperback","","","","","","Less intelligent than some of his other books but still highly entertaining. Reads like a nice fantasy tv series somewhere along the lines of dr who.","","","",""
"Between the Assassinations:","Aravind Adiga","","[9781848872073]","","4","","","","","","","","","","","","",""
"Cleaver:","Tim Parks","","[9780099481393]","","","","Vintage","Paperback","","","","","","","","","",""
"The Infinities:","John Banville","","[9780330513913]","","","","","","","","","","","","","","",""
"Programming Google App Engine:","Dan Sanderson","","[9780596522728]","","2","","Oreilly and Associates Inc","","","","","","","Seems its rather outdated. Every time I picked this up to look up a problem at hand it was incomplete or just wrong. Reads like someone copy pasted the official docs with some minor tweaks here and there.","","","",""
"Learning Python:","David Ascher, Mark Lutz","","[9781565924642]","","","","O'Reilly","Paperback","","","","","","","","","",""
